lead_id,lead_created_date,lead_source,agent_id,agent_name,property_type,neighborhood,listing_price,funnel_stage,closed,close_date,days_to_close,commission_rate,commission_amount,lost_reason,days_since_last_contact,at_risk_lead
L10000,2025-05-16,Referral,A111,Sameer Khan,Single Family,Pinecrest,250378.95,Contacted,False,,,,,Went cold / unresponsive,13.0,False
L10001,2025-01-28,Walk-in,A101,Rohan Mehta,Single Family,Riverside Heights,395839.09,Contacted,False,,,,,Chose competitor,0.0,False
L10002,2025-08-15,Open House,A104,Sneha Rao,Townhouse,Harborview,478429.34,Contacted,False,,,,,Went cold / unresponsive,8.0,False
L10003,2025-12-12,Walk-in,A107,Vikram Singh,Condo,Pinecrest,175600.72,Showing Completed,False,,,,,Chose competitor,7.0,False
L10004,2025-10-11,Social Media,A103,Karan Malhotra,Single Family,Downtown Core,786904.55,Lead (Uncontacted),False,,,,,Never contacted,16.0,False
L10005,2025-12-06,Website,A112,Pooja Reddy,Townhouse,Lakeview,429453.71,Showing Scheduled,False,,,,,Still in progress,3.0,False
L10006,2025-07-17,Referral,A103,Karan Malhotra,Single Family,Lakeview,349784.73,Closed,True,2025-08-15,29.0,0.028,9793.97,,,False
L10007,2025-02-21,Social Media,A104,Sneha Rao,Condo,Riverside Heights,308247.49,Contacted,False,,,,,Went cold / unresponsive,1.0,False
L10008,2025-02-23,Social Media,A104,Sneha Rao,Multi-Family,Lakeview,599759.1,Showing Completed,False,,,,,Went cold / unresponsive,5.0,False
L10009,2025-10-07,Zillow,A108,Neha Gupta,Single Family,Harborview,623742.62,Contacted,False,,,,,Chose competitor,16.0,False
L10010,2025-12-15,Walk-in,A102,Ananya Iyer,Condo,Harborview,304416.93,Showing Completed,False,,,,,Still in progress,4.0,False
L10011,2025-05-31,Referral,A113,Rahul Chawla,Single Family,Pinecrest,324707.45,Contacted,False,,,,,Chose competitor,1.0,False
L10012,2025-10-31,Social Media,A107,Vikram Singh,Single Family,Riverside Heights,494565.19,Lead (Uncontacted),False,,,,,Never contacted,8.0,False
L10013,2025-06-01,Social Media,A102,Ananya Iyer,Single Family,Downtown Core,666215.23,Contacted,False,,,,,Still in progress,27.0,True
L10014,2025-04-09,Walk-in,A109,Aditya Verma,Condo,Harborview,383458.44,Lead (Uncontacted),False,,,,,Never contacted,3.0,False
L10015,2025-10-16,Open House,A106,Divya Kapoor,Single Family,Oakridge,404199.04,Showing Completed,False,,,,,Went cold / unresponsive,3.0,False
L10016,2025-08-26,Zillow,A107,Vikram Singh,Condo,Sunset Hills,231893.34,Contacted,False,,,,,Financing fell through,23.0,True
L10017,2025-11-13,Zillow,A104,Sneha Rao,Condo,Pinecrest,188205.46,Offer Made,False,,,,,Financing fell through,3.0,False
L10018,2025-10-29,Social Media,A110,Ishita Bose,Multi-Family,Oakridge,473041.5,Lead (Uncontacted),False,,,,,Never contacted,33.0,True
L10019,2025-01-18,Social Media,A104,Sneha Rao,Single Family,Pinecrest,370433.68,Contacted,False,,,,,Went cold / unresponsive,8.0,False
L10020,2025-05-07,Referral,A109,Aditya Verma,Multi-Family,Maple Grove,364509.11,Contacted,False,,,,,Went cold / unresponsive,11.0,False
L10021,2025-01-13,Website,A105,Arjun Nair,Single Family,Pinecrest,272440.43,Closed,True,2025-02-19,37.0,0.028,7628.33,,,False
L10022,2025-08-03,Zillow,A100,Priya Sharma,Townhouse,Pinecrest,263432.79,Showing Completed,False,,,,,Still in progress,19.0,False
L10023,2025-04-11,Open House,A100,Priya Sharma,Single Family,Downtown Core,583039.94,Contacted,False,,,,,Chose competitor,9.0,False
L10024,2025-05-24,Referral,A100,Priya Sharma,Condo,Pinecrest,217276.5,Lead (Uncontacted),False,,,,,Never contacted,7.0,False
L10025,2025-02-27,Zillow,A111,Sameer Khan,Single Family,Lakeview,497119.61,Showing Scheduled,False,,,,,Still in progress,11.0,False
L10026,2025-03-30,Zillow,A102,Ananya Iyer,Single Family,Maple Grove,376063.92,Showing Scheduled,False,,,,,Went cold / unresponsive,8.0,False
L10027,2025-03-27,Website,A106,Divya Kapoor,Single Family,Harborview,525890.29,Offer Made,False,,,,,Went cold / unresponsive,6.0,False
L10028,2025-09-07,Referral,A107,Vikram Singh,Condo,Riverside Heights,483126.07,Contacted,False,,,,,Price too high,4.0,False
L10029,2025-01-04,Website,A107,Vikram Singh,Townhouse,Oakridge,263072.89,Contacted,False,,,,,Still in progress,20.0,False
L10030,2025-06-28,Website,A111,Sameer Khan,Condo,Downtown Core,361046.03,Contacted,False,,,,,Still in progress,10.0,False
L10031,2025-09-10,Open House,A104,Sneha Rao,Single Family,Sunset Hills,579615.61,Contacted,False,,,,,Price too high,3.0,False
L10032,2025-04-24,Walk-in,A100,Priya Sharma,Townhouse,Riverside Heights,574272.93,Contacted,False,,,,,Went cold / unresponsive,16.0,False
L10033,2025-08-15,Open House,A102,Ananya Iyer,Townhouse,Harborview,438810.83,Lead (Uncontacted),False,,,,,Never contacted,5.0,False
L10034,2025-07-02,Zillow,A111,Sameer Khan,Single Family,Sunset Hills,304024.68,Contacted,False,,,,,Price too high,23.0,True
L10035,2025-01-19,Zillow,A112,Pooja Reddy,Single Family,Downtown Core,648799.69,Showing Scheduled,False,,,,,Price too high,3.0,False
L10036,2025-02-22,Social Media,A113,Rahul Chawla,Condo,Pinecrest,302963.86,Contacted,False,,,,,Price too high,6.0,False
L10037,2025-08-09,Referral,A108,Neha Gupta,Single Family,Pinecrest,523823.68,Showing Completed,False,,,,,Went cold / unresponsive,1.0,False
L10038,2025-05-16,Referral,A110,Ishita Bose,Single Family,Maple Grove,285405.62,Showing Scheduled,False,,,,,Still in progress,42.0,True
L10039,2025-12-30,Walk-in,A105,Arjun Nair,Single Family,Oakridge,362077.12,Showing Scheduled,False,,,,,Price too high,6.0,False
L10040,2025-01-01,Referral,A106,Divya Kapoor,Single Family,Lakeview,515850.93,Closed,True,2025-02-23,53.0,0.028,14443.83,,,False
L10041,2025-07-22,Zillow,A106,Divya Kapoor,Townhouse,Oakridge,292623.33,Lead (Uncontacted),False,,,,,Never contacted,2.0,False
L10042,2025-01-14,Website,A101,Rohan Mehta,Single Family,Riverside Heights,617941.16,Contacted,False,,,,,Went cold / unresponsive,4.0,False
L10043,2025-06-05,Website,A113,Rahul Chawla,Multi-Family,Harborview,713463.48,Offer Made,False,,,,,Chose competitor,4.0,False
L10044,2025-07-31,Open House,A106,Divya Kapoor,Single Family,Riverside Heights,617261.21,Offer Made,False,,,,,Financing fell through,8.0,False
L10045,2025-08-12,Social Media,A101,Rohan Mehta,Townhouse,Downtown Core,597663.52,Lead (Uncontacted),False,,,,,Never contacted,4.0,False
L10046,2025-04-08,Website,A105,Arjun Nair,Townhouse,Riverside Heights,389108.06,Offer Made,False,,,,,Went cold / unresponsive,13.0,False
L10047,2025-03-19,Social Media,A108,Neha Gupta,Townhouse,Maple Grove,296833.19,Offer Made,False,,,,,Went cold / unresponsive,0.0,False
L10048,2025-04-28,Open House,A100,Priya Sharma,Condo,Sunset Hills,311391.64,Showing Scheduled,False,,,,,Changed mind,0.0,False
L10049,2025-03-07,Walk-in,A108,Neha Gupta,Condo,Pinecrest,281274.25,Contacted,False,,,,,Went cold / unresponsive,39.0,True
L10050,2025-11-04,Website,A109,Aditya Verma,Condo,Downtown Core,506019.59,Showing Scheduled,False,,,,,Chose competitor,7.0,False
L10051,2025-03-10,Website,A111,Sameer Khan,Condo,Riverside Heights,242686.91,Lead (Uncontacted),False,,,,,Never contacted,6.0,False
L10052,2025-04-21,Zillow,A109,Aditya Verma,Single Family,Downtown Core,602910.86,Offer Made,False,,,,,Price too high,4.0,False
L10053,2025-10-04,Social Media,A106,Divya Kapoor,Condo,Maple Grove,200611.97,Closed,True,2025-11-25,52.0,0.028,5617.14,,,False
L10054,2025-10-09,Zillow,A102,Ananya Iyer,Single Family,Sunset Hills,327882.18,Contacted,False,,,,,Price too high,20.0,False
L10055,2025-01-08,Social Media,A100,Priya Sharma,Single Family,Riverside Heights,415349.29,Offer Made,False,,,,,Went cold / unresponsive,4.0,False
